                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     43,               0.050445,               0.038986,               0.038035,               0.020603,                0.52261,                0.55298,                0.44972,                0.22755,                0.52356,                0.51699,                0.44232,                0.28477,               0.058428,               0.043013,               0.020287,               0.027969,               0.005842,               0.005842,               0.005842
                     44,               0.046931,               0.037597,                0.03851,               0.019528,                0.68527,                0.53524,                0.51795,                0.28781,                0.69496,                0.54952,                0.56658,                 0.3642,               0.053394,               0.035477,               0.021908,                0.02137,               0.005743,               0.005743,               0.005743
                     45,                0.04662,               0.037958,               0.037567,                0.01934,                0.65933,                0.49653,                0.48107,                0.24753,                0.66868,                0.51082,                0.53085,                0.30512,               0.054433,               0.036303,               0.020555,               0.021915,               0.005644,               0.005644,               0.005644
                     46,               0.047892,               0.036414,                0.03912,               0.018642,                 0.8473,                0.51931,                0.60629,                0.29274,                0.83447,                0.50507,                0.55708,                0.33665,               0.054288,               0.036327,               0.020441,               0.023262,               0.005545,               0.005545,               0.005545
                     47,               0.047677,                0.03555,               0.039183,               0.019453,                0.79481,                0.45444,                0.53656,                0.28527,                0.79481,                0.45444,                0.51385,                0.31689,               0.053992,               0.036102,                0.02252,               0.022655,               0.005446,               0.005446,               0.005446
                     48,               0.047917,               0.039078,               0.042623,               0.019572,                0.85632,                0.44965,                0.56071,                0.32206,                0.85374,                0.44605,                0.55963,                0.35185,               0.050629,               0.038768,               0.019836,               0.022514,               0.005347,               0.005347,               0.005347
                     49,                0.04456,               0.035379,               0.037253,               0.018007,                0.77604,                0.48775,                0.55584,                0.30469,                0.78509,                0.49404,                0.57073,                0.39478,               0.052077,               0.030718,               0.018375,               0.020588,               0.005248,               0.005248,               0.005248
                     50,               0.046874,               0.036383,               0.037793,               0.018147,                0.91127,                0.43028,                0.51166,                0.30294,                0.93376,                0.44188,                 0.4975,                0.30878,               0.053774,               0.041267,                0.02206,               0.025398,               0.005149,               0.005149,               0.005149
                     51,               0.044924,               0.036957,               0.037309,               0.019177,                0.82525,                0.43286,                0.51951,                0.28797,                0.82525,                0.43286,                0.51675,                0.35337,               0.053135,               0.036803,                0.01932,               0.024334,                0.00505,                0.00505,                0.00505
                     52,               0.042967,               0.037672,               0.037621,               0.018043,                0.93234,                 0.4574,                0.58261,                0.35017,                0.93234,                 0.4574,                0.61634,                0.40433,               0.049366,               0.033568,               0.018118,               0.021797,               0.004951,               0.004951,               0.004951
                     53,                0.04137,               0.035742,               0.036574,               0.017593,                 0.7417,                   0.59,                0.59512,                0.39719,                0.75101,                0.60333,                0.59396,                0.41949,               0.048949,               0.033898,               0.018187,               0.018826,               0.004852,               0.004852,               0.004852
                     54,               0.042914,               0.038879,               0.037671,               0.018102,                0.86292,                0.62484,                0.70308,                0.47551,                0.86677,                0.66143,                0.72188,                0.52742,               0.043715,               0.028504,               0.015738,               0.016773,               0.004753,               0.004753,               0.004753
                     55,               0.041653,               0.035703,               0.038832,               0.017609,                0.88235,                0.68535,                0.72054,                 0.4954,                0.90243,                0.67566,                 0.7485,                 0.5451,               0.043495,                0.02789,               0.015253,               0.016634,               0.004654,               0.004654,               0.004654
                     56,               0.042319,               0.034661,               0.040186,               0.016827,                0.78225,                0.66889,                0.68107,                0.41966,                0.78364,                 0.6951,                0.68089,                0.46507,               0.044948,                0.03044,               0.015928,               0.017433,               0.004555,               0.004555,               0.004555
                     57,               0.041393,               0.034901,               0.037884,               0.016802,                0.81301,                0.61923,                0.64578,                0.42947,                0.82406,                0.63312,                 0.6643,                0.47806,               0.046477,               0.032919,               0.016068,               0.017303,               0.004456,               0.004456,               0.004456
                     58,               0.042342,               0.036125,                0.03765,                  0.016,                0.82602,                0.61984,                0.65126,                0.41367,                0.86543,                0.61377,                0.65703,                0.45476,                0.04559,               0.034318,               0.017422,               0.018578,               0.004357,               0.004357,               0.004357
                     59,               0.040978,                0.03634,               0.036523,               0.016604,                0.91604,                0.65949,                    0.7,                0.45976,                0.91604,                0.65949,                0.69447,                0.49855,               0.044205,               0.031182,               0.015612,               0.016968,               0.004258,               0.004258,               0.004258
                     60,               0.041515,               0.035386,               0.037279,               0.017476,                0.75881,                0.60969,                0.59093,                0.39965,                0.74116,                0.58207,                 0.5647,                0.41022,                0.04735,               0.036407,               0.019724,               0.019547,               0.004159,               0.004159,               0.004159
                     61,               0.039204,               0.034129,               0.034413,               0.015756,                0.91357,                0.63588,                0.69562,                 0.4487,                0.91357,                0.63588,                0.70159,                0.51483,               0.045965,               0.032776,               0.016573,               0.016144,                0.00406,                0.00406,                0.00406
                     62,               0.038592,               0.033999,               0.037725,               0.016158,                0.72779,                0.51897,                0.54276,                0.36269,                 0.7826,                0.40726,                0.50942,                0.35874,                0.05195,               0.041807,               0.020081,               0.020271,               0.003961,               0.003961,               0.003961
                     63,               0.039705,               0.034619,               0.035083,               0.016264,                0.88911,                0.60271,                0.66878,                0.41155,                0.87564,                0.61964,                0.66231,                0.49336,               0.047433,               0.031947,                0.01779,               0.016846,               0.003862,               0.003862,               0.003862
                     64,               0.040081,               0.033025,               0.036336,                0.01487,                0.90552,                 0.6481,                0.74534,                0.47439,                0.89507,                0.67476,                0.73892,                0.53678,               0.043698,               0.027675,               0.015507,               0.015553,               0.003763,               0.003763,               0.003763
